"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"lakshadweep","2020","3","TOTAL","lakshadweep district","4","1199","8589","21306833.308656827","3644","32128"
"lakshadweep","2021","1","TOTAL","lakshadweep district","4","5225","9085","27042782.914081153","4577","47283"
"lakshadweep","2021","2","TOTAL","lakshadweep district","5","6962","11384","27383463.65795153","4896","40301"
"andaman & nicobar islands","2020","2","TOTAL",NULL,"6","1360",NULL,NULL,NULL,NULL
"lakshadweep","2021","4","TOTAL","lakshadweep district","11","17096","15470","50998185.528381005","5638","67320"
"lakshadweep","2023","3","TOTAL","lakshadweep district","12","12407","43757","94527061","7912","294406"
"ladakh","2020","2","TOTAL","kargil district","14","2538","38403","125414514.13487196","11252","169411"
"ladakh","2020","2","TOTAL","leh ladakh district","14","2538","116607","398378484.5171527","41782","526262"
"lakshadweep","2024","1","TOTAL","lakshadweep district","15","12935","81176","130052381","8578","645375"
"lakshadweep","2022","4","TOTAL","lakshadweep district","15","27135","17147","54813873.61493625","6961","72377"
"lakshadweep","2023","2","TOTAL","lakshadweep district","15","38384","34918","97987438","7585","90501"
"lakshadweep","2022","2","TOTAL","lakshadweep district","18","27463","17569","55929601.98990567","6327","38450"
"lakshadweep","2021","3","TOTAL","lakshadweep district","19","16034","13370","38803163.698768154","5287","49127"
"sikkim","2020","2","TOTAL","south district","21","4789","95669","152837659.21956825","24768","391248"
"sikkim","2020","2","TOTAL","west district","21","4789","69860","121265798.69496223","15082","272075"
"sikkim","2020","2","TOTAL","north district","21","4789","47621","126661852.85020877","10242","191832"
"sikkim","2020","2","TOTAL","east district","21","4789","304581","653853477.4965272","69829","1057180"
"lakshadweep","2023","1","TOTAL","lakshadweep district","26","30199","29520","85321961","7267","43821"
"lakshadweep","2024","2","TOTAL","lakshadweep district","26","33630","109085","146212841","8895","683424"
"ladakh","2020","4","TOTAL","leh ladakh district","27","34206","252454","869280793.9100087","50252","958797"
"ladakh","2020","4","TOTAL","kargil district","27","34206","79680","242682676.5979519","14601","273960"
"lakshadweep","2022","1","TOTAL","lakshadweep district","27","34664","16397","54939432.65393007","5990","45410"
"mizoram","2020","2","TOTAL","saiha district","31","7322","6775","19711305.598098427","1590","24375"
"mizoram","2020","2","TOTAL","lawngtlai district","31","7322","22369","44085859.538810775","4977","86175"
"mizoram","2020","2","TOTAL","serchhip district","31","7322","10425","19459795.690984454","2379","36361"
"mizoram","2020","2","TOTAL","lunglei district","31","7322","27260","60375778.328148104","7006","108200"
"mizoram","2020","2","TOTAL","aizawl district","31","7322","93369","238637352.52940086","29637","335207"
"mizoram","2020","2","TOTAL","kolasib district","31","7322","14432","29350410.444769997","4022","58398"
"mizoram","2020","2","TOTAL","champhai district","31","7322","8480","20817381.347150296","3052","33178"
"mizoram","2020","2","TOTAL","mamit district","31","7322","15352","24755549.964956302","2911","57414"
"ladakh","2021","1","TOTAL","kargil district","32","34530","58756","181498257.68860364","15824","237045"
"ladakh","2021","1","TOTAL","leh ladakh district","32","34530","216659","801921555.5582755","54095","947159"
"ladakh","2020","3","TOTAL","kargil district","33","10260","53708","183140893.8302123","12814","229879"
"ladakh","2020","3","TOTAL","leh ladakh district","33","10260","174514","652346606.227981","45587","785801"
"lakshadweep","2022","3","TOTAL","lakshadweep district","38","41504","15241","47580009.61750026","6645","18111"
"meghalaya","2020","2","TOTAL","east khasi hills district","41","8829","294655","669450297.8938913","57322","821770"
"meghalaya","2020","2","TOTAL","east garo hills district","41","8829","19865","19379120.258930385","4132","73258"
"meghalaya","2020","2","TOTAL","north garo hills district","41","8829","19393","16949021.845094834","4318","75310"
"meghalaya","2020","2","TOTAL","south garo hills district","41","8829","15934","18498464.712551523","3590","61880"
"meghalaya","2020","2","TOTAL","east jaintia hills district","41","8829","50077","79110098.89726548","9695","208825"
"meghalaya","2020","2","TOTAL","south west khasi hills district","41","8829","5952","5344985.9066313775","934","21859"
"meghalaya","2020","2","TOTAL","west jaintia hills district","41","8829","26041","22356066.44251103","5717","87706"
"meghalaya","2020","2","TOTAL","west garo hills district","41","8829","107355","178844205.7463917","29492","479767"
"meghalaya","2020","2","TOTAL","ribhoi district","41","8829","60451","108416383.1511733","13550","231180"
"meghalaya","2020","2","TOTAL","west khasi hills district","41","8829","14911","13551099.230221383","3195","54309"
"meghalaya","2020","2","TOTAL","south west garo hills district","41","8829","20761","21835410.25373499","4266","89389"
"nagaland","2020","2","TOTAL","mokokchung district","41","9791","34034","59551064.18105075","9559","137981"
"nagaland","2020","2","TOTAL","longleng district","41","9791","8262","14490014.337710015","1881","37771"
"nagaland","2020","2","TOTAL","zunheboto district","41","9791","18146","34250745.54624535","3647","72550"
"nagaland","2020","2","TOTAL","mon district","41","9791","42193","72681549.71193531","7917","165317"
"nagaland","2020","2","TOTAL","wokha district","41","9791","19427","30734350.100484923","5296","88851"
"nagaland","2020","2","TOTAL","kohima district","41","9791","98852","235056409.18486094","24236","394202"
"nagaland","2020","2","TOTAL","peren district","41","9791","11337","17709802.025017656","2534","49593"
"nagaland","2020","2","TOTAL","dimapur district","41","9791","232533","564581175.022531","63398","943503"
"nagaland","2020","2","TOTAL","kiphire district","41","9791","11097","21770604.465474278","2423","50366"
"nagaland","2020","2","TOTAL","phek district","41","9791","21862","39562622.89144808","4535","89799"
"nagaland","2020","2","TOTAL","tuensang district","41","9791","19823","47286166.881044514","4779","89346"
"andaman & nicobar islands","2020","3","TOTAL",NULL,"41","15380",NULL,NULL,NULL,NULL
"ladakh","2021","2","TOTAL","leh ladakh district","46","86251","307802","1142273759.759401","57971","2897493"
"ladakh","2021","2","TOTAL","kargil district","46","86251","91914","284985335.7109177","17077","1494139"
"lakshadweep","2024","3","TOTAL","lakshadweep district","49","55312","157478","192408087","11395","28226"
"lakshadweep","2023","4","TOTAL","lakshadweep district","53","78346","63479","119831383","8225","924554"
"manipur","2020","2","TOTAL","jiribam district","55","12554","13861","28862256.51424871","3660","53042"
"manipur","2020","2","TOTAL","noney district","55","12554","14604","44082720.741025195","2236","63200"
"manipur","2020","2","TOTAL","kakching district","55","12554","30404","53791181.45126964","9028","128015"
"manipur","2020","2","TOTAL","kamjong district","55","12554","4430","11168145.844261197","888","21980"
"manipur","2020","2","TOTAL","chandel district","55","12554","21517","49008541.100852005","4278","86628"
"manipur","2020","2","TOTAL","bishnupur district","55","12554","70841","142299534.95281482","19027","275023"
"manipur","2020","2","TOTAL","thoubal district","55","12554","66183","158615301.51328385","20186","290602"
"manipur","2020","2","TOTAL","kangpokpi district","55","12554","48617","105034881.03695941","12965","203507"
"manipur","2020","2","TOTAL","imphal west district","55","12554","551775","2034861513.6925411","67897","791660"
"manipur","2020","2","TOTAL","pherzawl district","55","12554","1363","4220742.5953207435","316","6845"
"manipur","2020","2","TOTAL","ukhrul district","55","12554","24243","43560417.96634197","6223","94483"
"manipur","2020","2","TOTAL","senapati district","55","12554","17187","27792929.58458709","1095","76298"
"manipur","2020","2","TOTAL","imphal east district","55","12554","127255","269647863.43556607","43144","517800"
"manipur","2020","2","TOTAL","churachandpur district","55","12554","50818","128936170.25492851","15469","230835"
"manipur","2020","2","TOTAL","tengnoupal district","55","12554","18676","50033115.318425305","3926","75600"
"manipur","2020","2","TOTAL","tamenglong district","55","12554","21294","47020896.803083815","5158","95973"
