"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"jammu-&-kashmir","2021","3",NULL,"muzaffarabad district",NULL,NULL,"4058","15722035.204606244","454","277152"
"madhya-pradesh","2021","1",NULL,"balaghat district",NULL,NULL,"2315936","4600620055.8422165","278215","8823124"
"madhya-pradesh","2021","1",NULL,"barwani district",NULL,NULL,"1067563","2248538999.422863","136583","4178618"
"madhya-pradesh","2021","1",NULL,"betul district",NULL,NULL,"2398625","4370416166.62771","285621","8986356"
"madhya-pradesh","2021","1",NULL,"bhind district",NULL,NULL,"1375999","3080179035.102253","242318","5815370"
"madhya-pradesh","2021","1",NULL,"bhopal district",NULL,NULL,"67309234","101725720745.41441","1340741","58411069"
"madhya-pradesh","2021","1",NULL,"burhanpur district",NULL,NULL,"901398","1614553569.2762008","114766","3206426"
"madhya-pradesh","2021","1",NULL,"chhatarpur district",NULL,NULL,"1313444","2858061843.406745","253341","5738186"
"madhya-pradesh","2021","1",NULL,"chhindwara district",NULL,NULL,"3281453","6171721022.75809","399276","12492218"
"madhya-pradesh","2021","1",NULL,"damoh district",NULL,NULL,"823880","1759875819.6421342","150665","3641799"
"madhya-pradesh","2021","1",NULL,"datia district",NULL,NULL,"635398","1461101645.6413937","106332","2671664"
"madhya-pradesh","2021","1",NULL,"dewas district",NULL,NULL,"3992803","6833124438.36656","358124","13374910"
"madhya-pradesh","2021","1",NULL,"dhar district",NULL,NULL,"4368739","7366487165.421755","415117","14747039"
"madhya-pradesh","2021","1",NULL,"dindori district",NULL,NULL,"490349","1119999389.1933413","65047","1911876"
"madhya-pradesh","2021","1",NULL,"east nimar district",NULL,NULL,"1695991","3040530342.986616","196341","6130447"
"madhya-pradesh","2021","1",NULL,"guna district",NULL,NULL,"1882964","3799877430.5001893","255002","7638668"
"madhya-pradesh","2021","1",NULL,"gwalior district",NULL,NULL,"7162483","13365571399.680473","703232","21185809"
"madhya-pradesh","2021","1",NULL,"harda district",NULL,NULL,"783753","1460099482.774878","100149","2843519"
"madhya-pradesh","2021","1",NULL,"hoshangabad district",NULL,NULL,"2149209","3776567780.379984","277931","7999438"
"madhya-pradesh","2021","1",NULL,"indore district",NULL,NULL,"37457244","53867415617.00962","1769869","68567452"
"madhya-pradesh","2021","1",NULL,"jabalpur district",NULL,NULL,"6508756","11341470367.935308","650087","17013715"
"madhya-pradesh","2021","1",NULL,"jhabua district",NULL,NULL,"597586","1283708735.7876873","96483","2562361"
"madhya-pradesh","2021","1",NULL,"katni district",NULL,NULL,"1402614","2685443831.9587994","195985","5374853"
"madhya-pradesh","2021","1",NULL,"khargone district",NULL,NULL,"2478158","5022742955.5200615","281236","9020662"
"madhya-pradesh","2021","1",NULL,"mandla district",NULL,NULL,"858851","1727915177.2945933","123283","3279877"
"madhya-pradesh","2021","1",NULL,"mandsaur district",NULL,NULL,"1919705","4173482937.968442","279783","7749487"
"madhya-pradesh","2021","1",NULL,"morena district",NULL,NULL,"1642617","4076150820.817652","289939","7286647"
"madhya-pradesh","2021","1",NULL,"narsinghpur district",NULL,NULL,"1563580","3177530090.9502044","214249","6119619"
"madhya-pradesh","2021","1",NULL,"neemuch district",NULL,NULL,"1242613","2652786981.404075","178235","4924752"
"madhya-pradesh","2021","1",NULL,"niwari district",NULL,NULL,"260101","590317182.3799706","47790","1193738"
"andhra-pradesh","2021","1",NULL,"vizianagaram district",NULL,NULL,"10514582","24153782497.243248","681621","37752539"
