"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"uttar-pradesh","2022","1",NULL,"aligarh district",NULL,NULL,"9297702","17226202534.103092","778769","14195820"
"uttar-pradesh","2022","1",NULL,"ambedkar nagar district",NULL,NULL,"2576776","5657979802.905907","347805","5487699"
"uttar-pradesh","2022","1",NULL,"amethi district",NULL,NULL,"2281603","4949433384.917047","283285","9549931"
"uttar-pradesh","2022","1",NULL,"amroha district",NULL,NULL,"3166176","7348977786.046396","279928","8078212"
"uttar-pradesh","2022","1",NULL,"auraiya district",NULL,NULL,"1869183","3924566144.591461","217723","6484845"
"uttar-pradesh","2022","1",NULL,"ayodhya district",NULL,NULL,"4287723","8980632457.576317","426442","7593013"
"uttar-pradesh","2022","1",NULL,"azamgarh district",NULL,NULL,"5659371","12390736135.18719","666213","8513681"
"uttar-pradesh","2022","1",NULL,"baghpat district",NULL,NULL,"3134912","6015343104.730775","273913","5613358"
"uttar-pradesh","2022","1",NULL,"bahraich district",NULL,NULL,"2051767","4932405539.104585","262870","16665248"
"uttar-pradesh","2022","1",NULL,"ballia district",NULL,NULL,"4663445","10089387420.30872","548285","7592872"
"uttar-pradesh","2022","1",NULL,"balrampur district",NULL,NULL,"1512682","4134411039.765115","172888","12140005"
"uttar-pradesh","2022","1",NULL,"banda district",NULL,NULL,"1285406","2827317393.902899","178647","13262034"
"uttar-pradesh","2022","1",NULL,"bara banki district",NULL,NULL,"2756907","5554049119.497407","335222","11548753"
"uttar-pradesh","2022","1",NULL,"bareilly district",NULL,NULL,"7495930","15645590197.23569","875033","14178473"
"uttar-pradesh","2022","1",NULL,"basti district",NULL,NULL,"3171081","8259872955.5138235","368788","7282881"
"uttar-pradesh","2022","1",NULL,"bhadohi district",NULL,NULL,"1857253","3521596144.3676004","261266","1976717"
"uttar-pradesh","2022","1",NULL,"bijnor district",NULL,NULL,"4556385","10094430397.120468","505579","16218600"
"uttar-pradesh","2022","1",NULL,"budaun district",NULL,NULL,"2468101","5559989020.570245","310467","16137282"
"uttar-pradesh","2022","1",NULL,"bulandshahr district",NULL,NULL,"7126702","13317537041.872564","612406","13024759"
"uttar-pradesh","2022","1",NULL,"chandauli district",NULL,NULL,"2767958","6268851772.096302","343632","6279911"
"uttar-pradesh","2022","1",NULL,"chitrakoot district",NULL,NULL,"826329","2022569945.2552247","104504","10833118"
"uttar-pradesh","2022","1",NULL,"deoria district",NULL,NULL,"5184948","11125054963.23863","563817","5830458"
"uttar-pradesh","2022","1",NULL,"etah district",NULL,NULL,"2222233","4658353697.005914","246989","8342531"
"uttar-pradesh","2022","1",NULL,"etawah district",NULL,NULL,"2818952","5450090057.698875","286261","9145306"
